sub,run_is,r2_cv,r2_cv_std,r2_train,coefficient,coefficient_std,r2_scores,correlation,n_trials,null_r2
sub-01,run-01,0.09690604417373813,0.291361306040221,0.40139082032123274,0.4258733272254517,0.04735499824664573,"[-0.00588352886379262, -0.30541647566554264, 0.0833152326935448, 0.5984525472320676, 0.11406244547241351]",0.6335541179104063,40,-0.5212537581425959
sub-01,run-02,-0.21363172357668145,0.7214499738293505,0.3376854816470348,0.37400110440707124,0.09601301610848531,"[0.31640867821558916, 0.008128144433135143, 0.08059900244746887, 0.1685234571252041, -1.6418179001048046]",0.5811071171884192,40,-0.2255728780494735
sub-01,run-03,0.3892848395524878,0.2812113347551765,0.5850984804946118,0.49764206861609883,0.032352791546609354,"[0.3431205857024171, 0.002887881221394939, 0.2039927231867149, 0.6013590643953611, 0.7950639432565512]",0.764917303043023,42,-0.3117550544915062
sub-01,run-04,0.018247563936704236,0.8419558489238922,0.45406695374603356,0.5318288199125096,0.03581644321364246,"[0.5575106783950257, 0.2158356352744365, -1.6318328218641827, 0.2814152207480104, 0.6683091071302313]",0.6738449033316446,40,-0.18090317533154057
sub-01,run-05,0.2775900577589584,0.3896090703862177,0.489818573431555,0.5236398763128491,0.04446458952751427,"[0.6904272942284491, -0.19519473110617502, -0.1925820780420484, 0.5011720821971813, 0.584127721517385]",0.6998703975962658,40,-0.1297585283444031
sub-01,run-06,0.6000175303945744,0.1291564967583867,0.7463802641485195,0.685853722046242,0.031096216804847237,"[0.8164817079343802, 0.5044267834408974, 0.6819658678731573, 0.4905814548567857, 0.5066318378676515]",0.863933020637896,40,-0.7602495384127407
sub-01,run-07,0.040952085283084624,0.6532742927212056,0.3536017537440954,0.3526787663789598,0.047952841417064025,"[-1.226592513423479, 0.6360155940135874, 0.3806255181579892, 0.24132729300432665, 0.17338453466299886]",0.5946442245108374,40,-0.32253288084028536
sub-02,run-01,0.41723230367867475,0.20685257187626324,0.6324774089382014,0.7105774471462382,0.05971828604128812,"[0.1565895459808938, 0.3834433720524013, 0.3103154037737924, 0.45528429832312856, 0.7805288982631574]",0.7952844830236544,40,-1.2045222489080718
sub-02,run-02,0.45613818542540174,0.2349748778910597,0.5944341885991409,0.9011777063519629,0.0259246770911363,"[0.563001065090764, 0.6424846774986619, 0.6490523076038677, 0.020012470005311145, 0.40614040692840425]",0.770995582736465,40,-0.32896216110524895
sub-02,run-03,0.34286374947052545,0.22443974522045074,0.5172268794392014,0.6434792620800635,0.05677673433899955,"[0.3767031210986873, 0.011231943828584279, 0.23626090893958218, 0.6993489493350552, 0.39077382415071826]",0.7191848715310977,40,-0.18972540562320256
sub-02,run-04,0.5527619326236339,0.4469083899773469,0.6873462053076653,0.7421022857074328,0.057492746235718345,"[0.8277985073206879, -0.33568795550113584, 0.6874552695334573, 0.8135522856037938, 0.7706915561613669]",0.8290634507127094,20,0.04352232097529833
sub-02,run-05,0.46533031992565965,0.3019188632081288,0.6322292979076092,0.6895333017621486,0.04092082274673192,"[0.7159769744691573, 0.7357310465384918, -0.08404640340788316, 0.5733529727288011, 0.3856370092997311]",0.7951284788684213,40,-0.3200500073159196
sub-02,run-06,0.46666988111217195,0.20709798222791945,0.609988546191843,0.711932509831147,0.06689596379089593,"[0.30450739536952776, 0.525563521050215, 0.8268324502824623, 0.44302872018864947, 0.23341731867000504]",0.7810176350069459,40,-0.17788267718862244
sub-02,run-07,0.4237317509880175,0.24259402533153757,0.5770999888577046,0.6472856438445123,0.06647858550361362,"[0.13193861581655464, 0.2636542829835432, 0.8464683019862652, 0.4849929313621585, 0.39160462279156594]",0.7596709740787159,40,-0.3787959300571005
sub-02,run-08,0.3967809735065163,0.0992186373178052,0.5744466332872035,0.6142747565545051,0.03611694034496389,"[0.32853060767970266, 0.4658137303205495, 0.447863839513857, 0.5047206617257474, 0.23697602829272524]",0.757922577370013,40,-0.3325007663175785
sub-02,run-09,-0.761212809536912,2.4351329215396476,0.5236313036502953,0.5118394982974517,0.01756794824142932,"[0.5458740761080749, 0.305692348651577, 0.45194040210996644, 0.5190600962322016, -5.6286309707863795]",0.7236237307125127,40,-3.181551074927102
sub-02,run-10,0.39161371210120255,0.28215895063053614,0.50614937781763,0.6499083842148458,0.018502227219880894,"[0.12292955514794046, 0.8397636460352232, 0.05592939641427519, 0.4609836477860857, 0.47846231512248827]",0.7114417599618609,40,-0.17600987129446372
sub-02,run-11,0.5296628970920514,0.24186600488315596,0.6170248393183174,0.6118530945751794,0.01202003678612848,"[0.6003300927739736, 0.8302464329058459, 0.16439262418407952, 0.7051541119738975, 0.34819122362246036]",0.785509286589482,40,-0.31791186567129925
sub-02,run-12,0.3076147522325078,0.2945100114950773,0.5522079371077788,0.6069634407468444,0.04414470105370708,"[0.41118229803532624, 0.38602236716507976, -0.19624229057217013, 0.7042788902005578, 0.23283249633374514]",0.7431069486337607,40,-0.27353439055592
sub-02,run-13,0.7023945102465243,0.14611230508756168,0.7562170052879988,0.7123970562453523,0.011954833467668376,"[0.8410669908528772, 0.7914234263785461, 0.6887093772199078, 0.7634623437639174, 0.4273104130173726]",0.8696073857138055,40,-0.27335662652873627
sub-03,run-01,-0.7413070735320976,2.6948189175540955,0.6063259962936065,0.652611748596961,0.030082777193349296,"[0.8045391118152128, 0.20481981007399852, -6.113707435450919, 0.78355921504348, 0.6142539308577385]",0.778669375469208,32,-4.357421026113517
sub-03,run-02,-0.2085605830642022,0.42305118185610086,0.10165406208566208,0.22202167358732755,0.012028952090579902,"[-0.12207870215474337, -1.0389996492990212, -0.03779125724121646, 0.12450392938253907, 0.03156276399143099]",0.3188323416557079,30,-0.2687720897851597
sub-03,run-03,-0.5851532000278565,0.5001595527880048,0.04971390081143079,0.24129273407774096,0.056544457439718636,"[-0.34505691608632993, 0.08483040023787292, -0.47383683364659035, -1.4200867006711473, -0.7716159499730879]",0.2229661427468999,30,-0.5996640504466824
sub-03,run-04,0.5526652312533689,0.2776745514817763,0.760823547829135,0.7021517845817027,0.03009553292459092,"[0.48370835614280316, 0.8265394024582481, 0.7898231539315308, 0.05613302971560863, 0.6071222140186536]",0.8722519978934613,30,-0.746331147878863
