radius_pre,radius_post,n_sessions,n_trials_total,correlation_mean,correlation_std,correlation_median,r_squared_mean,r2_cv_mean,r2_cv_std,r2_train_mean,coefficient_mean,coefficient_positive
5,5,318,10930,0.5745191140156379,0.24192022550902686,0.6262166774799254,0.3884135657554057,-2.0100480902462263,4.456240857940471,0.3884135657554057,0.6224081110153449,312
5,50,318,10930,0.331754606637484,0.208987032188292,0.3382717054702749,0.15359935405805292,-0.6214512661984621,1.50229452690275,0.15359935405805292,0.1647040746451164,295
5,100,318,10930,0.2805128775459236,0.2096425027040822,0.27881593243951286,0.12249924592818191,-0.7081942304884292,1.73426831332005,0.12249924592818193,0.1395429919137137,292
10,5,318,10930,0.44360346309574344,0.22120820125052246,0.4538220242351631,0.24556322319775625,-2.6179282462385465,6.586703649062817,0.24556322319775625,0.694551241078262,306
10,50,318,10930,0.4168039931720407,0.2145964098888213,0.42767807470550434,0.2196323714489485,-0.5228169632683002,1.3126417335945153,0.2196323714489485,0.27811824313691735,305
10,100,318,10930,0.37764463730224057,0.2248326105878331,0.3751690442617792,0.19300621353737238,-0.6463058797517591,1.8539442963305102,0.19300621353737238,0.24766968755169108,301
20,5,318,10930,0.3218245472774622,0.20996413128708288,0.3264603071412946,0.14751734378192582,-2.7410440660297883,7.909185239564853,0.14751734378192582,0.6246553228986402,296
20,50,318,10930,0.4738842629674547,0.21227336734214242,0.4968181561290804,0.26948457911285795,-0.44964083479756517,1.3192253196636623,0.26948457911285795,0.370736402528964,308
20,100,318,10930,0.4440378684047908,0.22295977651138366,0.45812363584260424,0.24672436642531928,-0.5520308091235131,1.51493383939366,0.24672436642531922,0.33856300890419117,308
30,5,318,10930,0.2632299791856112,0.19832572782229985,0.27138547188094914,0.108499427282465,-2.3808427206578235,6.390234288164384,0.10849942728246499,0.5406762759945709,288
30,50,318,10930,0.4989735893250809,0.20714548787656537,0.5165346302932234,0.291748961233249,-0.40700215313303467,1.3733654376783853,0.291748961233249,0.41295843127281434,313
30,100,318,10930,0.47739004071134133,0.21508323504481625,0.48655994160247873,0.27401657476018104,-0.4644796991856017,1.298830634523593,0.27401657476018104,0.3843320621383096,311
40,5,318,10930,0.22817049723724317,0.19880447344323446,0.22763485479949985,0.09146070761939715,-2.1837004001754776,5.746404275613386,0.09146070761939713,0.47231932835342516,280
40,50,318,10930,0.5124728201731166,0.2024025076266655,0.5419715520770315,0.3034663401729777,-0.38107129002881585,1.363884972762438,0.3034663401729777,0.4374975463622307,315
40,100,318,10930,0.4959346170086364,0.20970503701270723,0.505262617747283,0.2897890569508827,-0.45543194864332687,1.4690164310823637,0.2897890569508827,0.4118322649282263,311
50,5,318,10930,0.20787764471073256,0.20073577402470863,0.1962018631551079,0.08338125277593988,-2.0642094264384103,5.04299536557965,0.08338125277593986,0.43583844483225087,272
50,50,318,10930,0.5222433710489218,0.20035878416053063,0.5413744635552888,0.312755543125676,-0.38027729761412676,1.5434666944225819,0.312755543125676,0.45187822636514985,315
50,100,318,10930,0.5109396178860567,0.2087893720811875,0.519735962178772,0.3045152101079896,-0.4234068862418662,1.453417068247021,0.3045152101079896,0.42941181435482995,311
60,5,318,10930,0.19539287113128465,0.20075614748578927,0.18685201837532453,0.07835466575184348,-2.1146396174137476,5.625546353946355,0.07835466575184345,0.40758675392003896,268
60,50,318,10930,0.5204667963522662,0.20272522394513515,0.549421819908231,0.31185396505576635,-0.4118485625517462,1.9134017927863682,0.31185396505576635,0.4553492771143339,315
60,100,318,10930,0.5223567950577779,0.20871666414824933,0.536348610908697,0.3162822777837121,-0.40742395030214723,1.5199402769734507,0.3162822777837121,0.4429342653295498,311
70,5,318,10930,0.1841518083811628,0.20035330906733512,0.17592702382774,0.07392710601430175,-2.056584791420101,5.218090967647368,0.07392710601430172,0.38480660073369766,261
70,50,318,10930,0.5176213694388119,0.20539902580167488,0.54538895589312,0.3099879728440123,-0.41200628412464146,1.7135960548899611,0.3099879728440123,0.4573276807742761,315
70,100,318,10930,0.5305275399185619,0.20840117155461457,0.5376376648489556,0.3247539432937756,-0.3945302852363773,1.5219890842094514,0.3247539432937756,0.45343610632597864,311
80,5,318,10930,0.17476474063148198,0.20023742085613894,0.16072441470277798,0.07051165429573938,-2.0044117968490447,5.042428433255264,0.07051165429573934,0.358009201999027,254
80,50,318,10930,0.5120759310233015,0.20886852821829888,0.5371260778915028,0.30571063233899387,-0.4427428191082178,2.182939296010019,0.3057106323389938,0.45336612499247775,313
80,100,318,10930,0.534723915191931,0.2089472198518756,0.5597162451479443,0.329451313895714,-0.38678592069362927,1.5791283945877033,0.329451313895714,0.4576426166990212,312
90,5,318,10930,0.1668598896565744,0.2003959928625352,0.15140884021204853,0.06787449197069952,-2.0239928225983372,5.4432106246828535,0.0678744919706995,0.33895485544169474,254
90,50,318,10930,0.5074046708835186,0.2115478070620386,0.5368984248255557,0.30207124365473936,-0.43860802031174667,2.0366394026263412,0.30207124365473936,0.4521091230848083,312
90,100,318,10930,0.5386831328828445,0.2083326188349215,0.5647021632755105,0.3334455119367076,-0.3831134658362864,1.5648585475650387,0.3334455119367076,0.4637171803493345,312
100,5,318,10930,0.16059420933542556,0.20071800168283224,0.15277981311642275,0.06595152534017482,-2.0236309711653058,5.49911255717445,0.06595152534017482,0.32302102179691167,251
100,50,318,10930,0.5028174077439702,0.21329784481846562,0.5350296229773979,0.298178247044618,-0.4438854455210104,2.030697953158356,0.2981782470446179,0.4506527670393124,312
100,100,318,10930,0.5402428941945664,0.2079487377947043,0.5726988395237027,0.334969079015395,-0.3903626242617602,1.7254118963474976,0.334969079015395,0.46781681354585114,313
